FIRM'S NAME,LATITUDE,LONGITUDE,AMOUNT OF WASTE,REGION,,,
PLATO HALI VE TEKS. SAN. ?TH. ?HR. T?C. LTD. ?T?.,37.19390026,37.3304193,58,5,,,
POLY GÜRTEKS TEKST?L SAN. VE T?C. A.?.,37.18087389,37.34803373,139,5,,,
R?VA KEÇEC? HALI TEKST?L SAN. VE T?C. LTD. ?T?.,37.17226955,37.34955304,65,5,,,
RUGTEK TEKST?L SAN. VE T?C. LTD. ?T?.,37.18967569,37.3365647,143,5,,,
Safa ?thalat Mafy Carpet,37.15951577,37.34075166,7,5,,,
SAFYÜN HALI TEKST?L SAN. VE T?C. A.?.,37.18942773,37.33754541,42,5,,,
SAYDAM TEKST?L SANAY? T?CARET LTD.?T?,37.18072054,37.33077648,115,5,,,
SAYIN TEKST?L SAN. VE T?C. A.?.,37.18526023,37.37171732,21,5,,,
SEBAT HALI SAN. VE T?C. A.?.,37.20323943,37.33607371,92,5,,,
SENOCO TEKST?L SAN. VE T?C. A.?.,37.17113775,37.34590519,46,5,,,
SH?MALL TEKST?L SENTET?K ELYAF DER? SAN. VE T?C. LTD. ?T?.,37.17945332,37.35245292,117,5,,,
SIRMA HALI TEKST?L SAN. VE T?C. A.?,37.19993348,37.30152924,59,5,,,
SMART POLYESTER A.?.,37.07170332,37.37386495,129,5,,,
?AHAN KARDE?LER TEKST?L HALI SAN.VE T?C.LTD.?T?.,37.18529276,37.33813853,74,5,,,
?EHZADE HALI SAN. VE T?C. A.?.,37.18657448,37.35512761,146,5,,,
S?REC? TEKST?L SAN. VE T?C. A.?.,37.16190999,37.31062481,15,5,,,
TAT CARPET SAN. VE T?C. A.?.,37.19275147,37.342728,81,5,,,
TEKSTÜRE TEKST?L SAN. VE T?C. LTD. ?T?.,37.15655504,37.33127023,118,5,,,
TÜMER HALI SANAY? VE T?CARET A.?.,37.17658388,37.33427404,44,5,,,
UCAR SENTET?K AMBALAJ SAN.T?C.LTD.?T?.,37.18812162,37.37881064,131,5,,,
U?URSER HALI TEKST?L SAN. VE T?C. A.?.,37.15673609,37.40565531,70,5,,,
ULUTA? ?Ç VE DI? T?C. LTD. ?T?.,37.19784745,37.30141124,125,5,,,
ÜSTÜNSOY HALI SAN. ?Ç VE DI? T?C.LTD. ?T?.,37.17161836,37.33091689,9,5,,,
VILLA TEKST?L PAZ. SAN. VE T?C. LTD. ?T?.,37.19398891,37.3226327,97,5,,,
V?STA HALI SAN. VE T?C. LTD. ?T?.,37.15204493,37.33807746,40,5,,,
YAKUT HALI TEKST?L SAN. VE T?C. LTD. ?T?.,37.19724459,37.32289567,119,5,,,
YALÇIN KARDE?LER HALI TEKST?L SAN. VE T?C. LTD. ?T?.,37.18706334,37.34518148,63,5,,,
YAS?N KAPLAN K?MYA SAN. VE T?C. A.?.,37.18723884,37.34789891,134,5,,,
YUSUF HALI TEKST?L SAN. VE T?C. LTD. ?T?,37.18170376,37.37942616,55,5,,,
YÜKSEL HALI VE TEKST?L SAN. T?C. LTD. ?T?,37.15894427,37.34008911,104,5,,,
ZEK? MENSUCAT SAN.VE T?C. A.?.,37.18814716,37.37347814,37,5,,,
ÖZPANÇAR ?PL?K TEKST?L SAN. VE T?C. LTD. ?T?.,37.18741545,37.31508425,125,5,,,
EKONET TEKST?L VE AMBALAJ SAN. T?C. A.?.,37.18598426,37.32722662,83,5,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
